Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Iran, Islamic Rep.",NA,4.80,5.00,5.00,4.90,5.20,5.50,5.70,5.40,5.50,6.10,6.30,6.00,5.10,4.90,4.70,4.90,5.20,5.20,4.90,4.10,NA,NA
Iraq,NA,22.10,21.40,20.20,19.40,17.90,18.00,17.80,17.00,15.80,15.00,15.90,16.60,16.80,17.30,18.40,19.10,18.80,18.10,17.40,15.90,NA,NA
Iceland,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Israel,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Italy,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Jamaica,NA,7.40,6.90,7.00,7.10,7.40,7.70,8.30,9.00,9.60,9.70,9.90,9.70,9.70,9.30,9.70,9.30,9.00,8.10,7.50,6.90,NA,NA
Jordan,NA,9.70,7.70,6.30,5.70,5.50,5.70,6.10,6.50,6.40,6.20,6.10,6.30,6.00,6.00,6.30,7.10,8.80,11.20,14.60,16.90,NA,NA
Japan,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.60,2.70,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.80,3.20,NA,NA
Kazakhstan,NA,6.50,6.60,7.10,7.50,7.30,6.30,5.10,4.30,3.70,3.20,2.60,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Kenya,NA,32.20,33.60,34.90,32.10,28.50,26.10,26.90,26.60,24.70,22.20,20.60,19.80,19.50,19.60,21.50,23.30,25.10,24.70,25.60,26.90,NA,NA
Kyrgyz Republic,NA,15.00,12.90,10.60,8.50,8.50,9.00,9.60,8.80,8.20,7.30,6.70,6.30,6.10,6.10,6.30,6.10,5.80,5.40,5.20,5.30,NA,NA
Cambodia,NA,23.60,21.20,19.40,18.50,17.00,15.60,14.80,14.50,13.00,11.20,9.70,9.50,9.40,9.20,8.90,8.50,7.70,6.60,6.00,6.30,NA,NA
Kiribati,NA,4.40,4.60,5.00,5.10,5.30,5.50,6.00,6.20,5.40,4.40,3.50,3.30,3.30,3.20,3.20,3.30,3.40,3.90,4.00,4.20,NA,NA
St. Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",NA,2.50,2.60,2.60,2.60,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Kuwait,NA,2.60,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.70,NA,NA
Lao PDR,NA,31.20,29.50,26.90,24.10,22.40,20.60,20.10,18.30,16.80,14.10,12.80,11.30,10.00,8.00,6.70,5.90,5.60,5.30,5.40,5.10,NA,NA
